track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF132WOR	ENCFF132WOR	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF005ZYZ	ENCFF005ZYZ	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF474PJD	ENCFF474PJD	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	minus	none	passed
ENCFF249RPS	ENCFF249RPS	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	plus	none	passed
ENCFF370AVM	ENCFF370AVM	ENCSR267TGY	ENCSR041XVL	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF005YRI	ENCFF005YRI	ENCSR267TGY	ENCSR041XVL	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF568NFI	ENCFF568NFI	ENCSR794LVK	ENCSR768KYM	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF469TIJ	ENCFF469TIJ	ENCSR794LVK	ENCSR768KYM	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF014PGQ	ENCFF014PGQ	ENCSR949COJ	ENCSR195HNX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF050IOO	ENCFF050IOO	ENCSR949COJ	ENCSR195HNX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF592XUB	ENCFF592XUB	ENCSR253OON	ENCSR921NDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF463ZHG	ENCFF463ZHG	ENCSR253OON	ENCSR921NDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF261PNW	ENCFF261PNW	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF555GBJ	ENCFF555GBJ	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF669OHS	ENCFF669OHS	ENCSR159OCC	ENCSR098GCX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF769PKJ	ENCFF769PKJ	ENCSR085XDP	ENCSR492OAC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF263XWT	ENCFF263XWT	ENCSR159OCC	ENCSR098GCX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF673NTH	ENCFF673NTH	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF873JNT	ENCFF873JNT	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF891LUQ	ENCFF891LUQ	ENCSR085XDP	ENCSR492OAC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF760NOC	ENCFF760NOC	ENCSR887VJM	ENCSR066VPU	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	minus	none	passed
ENCFF433ECQ	ENCFF433ECQ	ENCSR887VJM	ENCSR066VPU	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	plus	none	passed
ENCFF022YOE	ENCFF022YOE	ENCSR961PPA	ENCSR948FHI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF494NTV	ENCFF494NTV	ENCSR000BQK	ENCSR805HVX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF007MPZ	ENCFF007MPZ	ENCSR000BQK	ENCSR805HVX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF017IHB	ENCFF017IHB	ENCSR961PPA	ENCSR948FHI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF758VCV	ENCFF758VCV	ENCSR000BQU	ENCSR351BPK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF242PXA	ENCFF242PXA	ENCSR000BQU	ENCSR351BPK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF742FWK	ENCFF742FWK	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	minus	none	passed
ENCFF588NML	ENCFF588NML	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	plus	none	passed
ENCFF037RDR	ENCFF037RDR	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF621EBS	ENCFF621EBS	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF638FPC	ENCFF638FPC	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF843FJW	ENCFF843FJW	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF497BDS	ENCFF497BDS	ENCSR869IUD	ENCSR762MDC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF714YET	ENCFF714YET	ENCSR014ARU	ENCSR329DYY	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF191ETT	ENCFF191ETT	ENCSR014ARU	ENCSR329DYY	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF744KVA	ENCFF744KVA	ENCSR869IUD	ENCSR762MDC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF874KLS	ENCFF874KLS	ENCSR000BPS	ENCSR473TBT	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	minus	none	passed
ENCFF735EHH	ENCFF735EHH	ENCSR000BPS	ENCSR473TBT	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	plus	none	passed
ENCFF074BJM	ENCFF074BJM	ENCSR000BKC	ENCSR957UER	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF330MRZ	ENCFF330MRZ	ENCSR000BKC	ENCSR957UER	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF428MDY	ENCFF428MDY	ENCSR000BUG	ENCSR070KTD	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	minus	none	passed
ENCFF578IAD	ENCFF578IAD	ENCSR000BUG	ENCSR070KTD	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	plus	none	passed
ENCFF301RHY	ENCFF301RHY	ENCSR000BKE	ENCSR469WUV	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF913BML	ENCFF913BML	ENCSR402ZCY	ENCSR295WDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF573AGC	ENCFF573AGC	ENCSR402ZCY	ENCSR295WDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF883SEH	ENCFF883SEH	ENCSR000BKE	ENCSR469WUV	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF324UDV	ENCFF324UDV	ENCSR028UIU	ENCSR405ECI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF704NZP	ENCFF704NZP	ENCSR000DOG	ENCSR171HUI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF779NOT	ENCFF779NOT	ENCSR632DCH	ENCSR697WUY	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
