track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF944XTC	ENCFF944XTC	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF356HEC	ENCFF356HEC	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF650OUD	ENCFF650OUD	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	minus	none	passed
ENCFF147KWK	ENCFF147KWK	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	plus	none	passed
ENCFF202VVC	ENCFF202VVC	ENCSR267TGY	ENCSR041XVL	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF844ESL	ENCFF844ESL	ENCSR267TGY	ENCSR041XVL	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF581ULJ	ENCFF581ULJ	ENCSR794LVK	ENCSR768KYM	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF725PCO	ENCFF725PCO	ENCSR794LVK	ENCSR768KYM	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF831TIL	ENCFF831TIL	ENCSR949COJ	ENCSR195HNX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF831VKM	ENCFF831VKM	ENCSR949COJ	ENCSR195HNX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF610AKO	ENCFF610AKO	ENCSR253OON	ENCSR921NDS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF516TUM	ENCFF516TUM	ENCSR253OON	ENCSR921NDS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF163ATG	ENCFF163ATG	ENCSR159OCC	ENCSR098GCX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF532NWF	ENCFF532NWF	ENCSR085XDP	ENCSR492OAC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF543PYZ	ENCFF543PYZ	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF835PPR	ENCFF835PPR	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF041SJO	ENCFF041SJO	ENCSR159OCC	ENCSR098GCX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF086IVV	ENCFF086IVV	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF759OKQ	ENCFF759OKQ	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF971GUK	ENCFF971GUK	ENCSR085XDP	ENCSR492OAC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF978WGW	ENCFF978WGW	ENCSR887VJM	ENCSR066VPU	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	minus	none	passed
ENCFF877UNU	ENCFF877UNU	ENCSR887VJM	ENCSR066VPU	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	plus	none	passed
ENCFF307NYS	ENCFF307NYS	ENCSR961PPA	ENCSR948FHI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF485KBV	ENCFF485KBV	ENCSR000BQK	ENCSR805HVX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF550MAG	ENCFF550MAG	ENCSR961PPA	ENCSR948FHI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF869ZRG	ENCFF869ZRG	ENCSR000BQK	ENCSR805HVX	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF991CEB	ENCFF991CEB	ENCSR000BQU	ENCSR351BPK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF793TGL	ENCFF793TGL	ENCSR000BQU	ENCSR351BPK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF825WXK	ENCFF825WXK	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	minus	none	passed
ENCFF017VWJ	ENCFF017VWJ	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	plus	none	passed
ENCFF214XDE	ENCFF214XDE	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF601LUS	ENCFF601LUS	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF090DTZ	ENCFF090DTZ	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF601TLV	ENCFF601TLV	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF784YNM	ENCFF784YNM	ENCSR014ARU	ENCSR329DYY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF981YWK	ENCFF981YWK	ENCSR869IUD	ENCSR762MDC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF354MYF	ENCFF354MYF	ENCSR869IUD	ENCSR762MDC	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF511RKT	ENCFF511RKT	ENCSR014ARU	ENCSR329DYY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF595XMX	ENCFF595XMX	ENCSR000BPS	ENCSR473TBT	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	minus	none	passed
ENCFF520HSW	ENCFF520HSW	ENCSR000BPS	ENCSR473TBT	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	plus	none	passed
ENCFF759DQE	ENCFF759DQE	ENCSR000BKC	ENCSR957UER	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF794VES	ENCFF794VES	ENCSR000BKC	ENCSR957UER	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF227HXY	ENCFF227HXY	ENCSR000BUG	ENCSR070KTD	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	minus	none	passed
ENCFF044NXD	ENCFF044NXD	ENCSR000BUG	ENCSR070KTD	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	plus	none	passed
ENCFF760OPV	ENCFF760OPV	ENCSR000BKE	ENCSR469WUV	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF885GRU	ENCFF885GRU	ENCSR402ZCY	ENCSR295WDS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF642FHJ	ENCFF642FHJ	ENCSR000BKE	ENCSR469WUV	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF926HGL	ENCFF926HGL	ENCSR402ZCY	ENCSR295WDS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF131JTA	ENCFF131JTA	ENCSR000DOG	ENCSR171HUI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF590YYZ	ENCFF590YYZ	ENCSR000BNU	ENCSR938IXD	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF805GVC	ENCFF805GVC	ENCSR632DCH	ENCSR697WUY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF955KXI	ENCFF955KXI	ENCSR028UIU	ENCSR405ECI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF003XTG	ENCFF003XTG	ENCSR632DCH	ENCSR697WUY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF334ETN	ENCFF334ETN	ENCSR000DOG	ENCSR171HUI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF647AEQ	ENCFF647AEQ	ENCSR028UIU	ENCSR405ECI	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF799FIK	ENCFF799FIK	ENCSR000BNU	ENCSR938IXD	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF358CDF	ENCFF358CDF	ENCSR480LIS	ENCSR899JOK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	minus	none	passed
ENCFF378ISO	ENCFF378ISO	ENCSR205FOW	ENCSR747WRJ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	minus	none	passed
ENCFF186HSL	ENCFF186HSL	ENCSR205FOW	ENCSR747WRJ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	plus	none	passed
ENCFF687FFD	ENCFF687FFD	ENCSR480LIS	ENCSR899JOK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	plus	none	passed
ENCFF077TPO	ENCFF077TPO	ENCSR288ZFV	ENCSR541PJK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF218XOX	ENCFF218XOX	ENCSR965SHB	ENCSR542HXB	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF468ACX	ENCFF468ACX	ENCSR803PAI	ENCSR800VEQ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF073DVB	ENCFF073DVB	ENCSR965SHB	ENCSR542HXB	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF448QRE	ENCFF448QRE	ENCSR288ZFV	ENCSR541PJK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF518NLW	ENCFF518NLW	ENCSR803PAI	ENCSR800VEQ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF484GBX	ENCFF484GBX	ENCSR044UJJ	ENCSR545YPY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF500WUN	ENCFF500WUN	ENCSR145TSJ	ENCSR254DFG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF226QER	ENCFF226QER	ENCSR044UJJ	ENCSR545YPY	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF768MGU	ENCFF768MGU	ENCSR145TSJ	ENCSR254DFG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATF4	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF013YWC	ENCFF013YWC	ENCSR161CZA	ENCSR234UFS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATOH8	A549	cell-line	cell-line	cell-line	minus	none	passed
ENCFF097EHV	ENCFF097EHV	ENCSR161CZA	ENCSR234UFS	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	ATOH8	A549	cell-line	cell-line	cell-line	plus	none	passed
ENCFF739HZC	ENCFF739HZC	ENCSR636MKU	ENCSR478VGG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF727BVR	ENCFF727BVR	ENCSR636MKU	ENCSR478VGG	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF270EEI	ENCFF270EEI	ENCSR000EGD	ENCSR326GUZ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF647AQI	ENCFF647AQI	ENCSR740NPG	ENCSR166BIR	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF597CPC	ENCFF597CPC	ENCSR000EGD	ENCSR326GUZ	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF695PDM	ENCFF695PDM	ENCSR740NPG	ENCSR166BIR	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF805MXQ	ENCFF805MXQ	ENCSR036THH	ENCSR467XIK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH2	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF271LZV	ENCFF271LZV	ENCSR036THH	ENCSR467XIK	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BACH2	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF581LTB	ENCFF581LTB	ENCSR000BGT	ENCSR367ANH	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BATF	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF559VMI	ENCFF559VMI	ENCSR000BGT	ENCSR367ANH	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BATF	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF518BJR	ENCFF518BJR	ENCSR507BRS	ENCSR611OLN	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF171LWG	ENCFF171LWG	ENCSR507BRS	ENCSR611OLN	BPNet	normalized predicted signal profile	bigWig	ChIP-seq	BATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
