track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF774SGQ	ENCFF774SGQ	ENCSR590KEQ	ENCSR728JEK	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF828QIP	ENCFF828QIP	ENCSR590KEQ	ENCSR728JEK	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF961GRB	ENCFF961GRB	ENCSR760UKJ	ENCSR572ENG	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	minus	none	passed
ENCFF088URA	ENCFF088URA	ENCSR760UKJ	ENCSR572ENG	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	plus	none	passed
ENCFF857WDQ	ENCFF857WDQ	ENCSR267TGY	ENCSR041XVL	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF236SOS	ENCFF236SOS	ENCSR267TGY	ENCSR041XVL	BPNet	observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF830IPJ	ENCFF830IPJ	ENCSR794LVK	ENCSR768KYM	BPNet	observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF414FSH	ENCFF414FSH	ENCSR794LVK	ENCSR768KYM	BPNet	observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF641QOG	ENCFF641QOG	ENCSR949COJ	ENCSR195HNX	BPNet	observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF597MYM	ENCFF597MYM	ENCSR949COJ	ENCSR195HNX	BPNet	observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF935VNH	ENCFF935VNH	ENCSR253OON	ENCSR921NDS	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF175OCH	ENCFF175OCH	ENCSR253OON	ENCSR921NDS	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF040AIO	ENCFF040AIO	ENCSR085XDP	ENCSR492OAC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF297WKK	ENCFF297WKK	ENCSR091GVJ	ENCSR901APQ	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF712WSV	ENCFF712WSV	ENCSR000DNZ	ENCSR945EBR	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF758KGV	ENCFF758KGV	ENCSR159OCC	ENCSR098GCX	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF500PGR	ENCFF500PGR	ENCSR000DNZ	ENCSR945EBR	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF804INB	ENCFF804INB	ENCSR159OCC	ENCSR098GCX	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF817XDH	ENCFF817XDH	ENCSR085XDP	ENCSR492OAC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF970RDV	ENCFF970RDV	ENCSR091GVJ	ENCSR901APQ	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF862QJI	ENCFF862QJI	ENCSR887VJM	ENCSR066VPU	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	minus	none	passed
ENCFF363ICA	ENCFF363ICA	ENCSR887VJM	ENCSR066VPU	BPNet	observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	plus	none	passed
ENCFF410PER	ENCFF410PER	ENCSR961PPA	ENCSR948FHI	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF607AUQ	ENCFF607AUQ	ENCSR000BQK	ENCSR805HVX	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF617AVQ	ENCFF617AVQ	ENCSR000BQK	ENCSR805HVX	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF850LHA	ENCFF850LHA	ENCSR961PPA	ENCSR948FHI	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF349QDO	ENCFF349QDO	ENCSR000BQU	ENCSR351BPK	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF193WDL	ENCFF193WDL	ENCSR000BQU	ENCSR351BPK	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF169KOF	ENCFF169KOF	ENCSR217HTK	ENCSR510IRZ	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	minus	none	passed
ENCFF477UUN	ENCFF477UUN	ENCSR217HTK	ENCSR510IRZ	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	plus	none	passed
ENCFF802PEB	ENCFF802PEB	ENCSR908HWZ	ENCSR290NUC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF867UZD	ENCFF867UZD	ENCSR047BUZ	ENCSR268FRB	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF099CPL	ENCFF099CPL	ENCSR908HWZ	ENCSR290NUC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF601UGA	ENCFF601UGA	ENCSR047BUZ	ENCSR268FRB	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF097QIJ	ENCFF097QIJ	ENCSR869IUD	ENCSR762MDC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF446BEB	ENCFF446BEB	ENCSR014ARU	ENCSR329DYY	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF358HHV	ENCFF358HHV	ENCSR869IUD	ENCSR762MDC	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF455COS	ENCFF455COS	ENCSR014ARU	ENCSR329DYY	BPNet	observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF383GXN	ENCFF383GXN	ENCSR000BPS	ENCSR473TBT	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	minus	none	passed
ENCFF215QYE	ENCFF215QYE	ENCSR000BPS	ENCSR473TBT	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	plus	none	passed
ENCFF826QCD	ENCFF826QCD	ENCSR000BKC	ENCSR957UER	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF049PVW	ENCFF049PVW	ENCSR000BKC	ENCSR957UER	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF448JMN	ENCFF448JMN	ENCSR000BUG	ENCSR070KTD	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	minus	none	passed
ENCFF611DYN	ENCFF611DYN	ENCSR000BUG	ENCSR070KTD	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	plus	none	passed
ENCFF677ULU	ENCFF677ULU	ENCSR000BKE	ENCSR469WUV	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF996VTL	ENCFF996VTL	ENCSR402ZCY	ENCSR295WDS	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF383HQT	ENCFF383HQT	ENCSR000BKE	ENCSR469WUV	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF706MCE	ENCFF706MCE	ENCSR402ZCY	ENCSR295WDS	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF035WYB	ENCFF035WYB	ENCSR632DCH	ENCSR697WUY	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF571WKY	ENCFF571WKY	ENCSR028UIU	ENCSR405ECI	BPNet	observed signal profile	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	minus	none	passed
