track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF396GOE	ENCFF396GOE	ENCSR590KEQ	ENCSR728JEK	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF486VBZ	ENCFF486VBZ	ENCSR590KEQ	ENCSR728JEK	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF728ZHG	ENCFF728ZHG	ENCSR760UKJ	ENCSR572ENG	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	minus	none	passed
ENCFF141LJM	ENCFF141LJM	ENCSR760UKJ	ENCSR572ENG	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	plus	none	passed
ENCFF535FQZ	ENCFF535FQZ	ENCSR267TGY	ENCSR041XVL	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF806OFM	ENCFF806OFM	ENCSR267TGY	ENCSR041XVL	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF535MBP	ENCFF535MBP	ENCSR794LVK	ENCSR768KYM	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF920EHA	ENCFF920EHA	ENCSR794LVK	ENCSR768KYM	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF776KXV	ENCFF776KXV	ENCSR949COJ	ENCSR195HNX	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF508MAJ	ENCFF508MAJ	ENCSR949COJ	ENCSR195HNX	BPNet	predicted signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF367QKI	ENCFF367QKI	ENCSR253OON	ENCSR921NDS	BPNet	predicted signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF373LBC	ENCFF373LBC	ENCSR253OON	ENCSR921NDS	BPNet	predicted signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF430TFJ	ENCFF430TFJ	ENCSR159OCC	ENCSR098GCX	BPNet	predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF666FYL	ENCFF666FYL	ENCSR000DNZ	ENCSR945EBR	BPNet	predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF830VGG	ENCFF830VGG	ENCSR091GVJ	ENCSR901APQ	BPNet	predicted signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
