track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF728SHP	ENCFF728SHP	ENCSR590KEQ	ENCSR728JEK	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	none	counts	passed
ENCFF155KRP	ENCFF155KRP	ENCSR760UKJ	ENCSR572ENG	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	none	counts	passed
ENCFF262LRB	ENCFF262LRB	ENCSR267TGY	ENCSR041XVL	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF812DFK	ENCFF812DFK	ENCSR794LVK	ENCSR768KYM	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF064KJW	ENCFF064KJW	ENCSR949COJ	ENCSR195HNX	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	none	counts	passed
ENCFF618FCH	ENCFF618FCH	ENCSR253OON	ENCSR921NDS	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF270EPY	ENCFF270EPY	ENCSR091GVJ	ENCSR901APQ	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF441LSS	ENCFF441LSS	ENCSR000DNZ	ENCSR945EBR	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF579MXV	ENCFF579MXV	ENCSR159OCC	ENCSR098GCX	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF848IEA	ENCFF848IEA	ENCSR085XDP	ENCSR492OAC	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF136XLH	ENCFF136XLH	ENCSR887VJM	ENCSR066VPU	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	none	counts	passed
ENCFF407BCH	ENCFF407BCH	ENCSR961PPA	ENCSR948FHI	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	none	counts	passed
ENCFF583ZKR	ENCFF583ZKR	ENCSR000BQK	ENCSR805HVX	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	none	counts	passed
ENCFF024XBY	ENCFF024XBY	ENCSR000BQU	ENCSR351BPK	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	none	counts	passed
ENCFF670GRF	ENCFF670GRF	ENCSR217HTK	ENCSR510IRZ	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	none	counts	passed
ENCFF072PAQ	ENCFF072PAQ	ENCSR047BUZ	ENCSR268FRB	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF665JSR	ENCFF665JSR	ENCSR908HWZ	ENCSR290NUC	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF316QBT	ENCFF316QBT	ENCSR869IUD	ENCSR762MDC	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF749OOE	ENCFF749OOE	ENCSR014ARU	ENCSR329DYY	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF388YGP	ENCFF388YGP	ENCSR000BPS	ENCSR473TBT	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	A549	cell-line	cell-line	cell-line	none	counts	passed
ENCFF695QDZ	ENCFF695QDZ	ENCSR000BKC	ENCSR957UER	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	H1	cell-line	cell-line	cell-line	none	counts	passed
ENCFF968SSP	ENCFF968SSP	ENCSR000BUG	ENCSR070KTD	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	HCT116	cell-line	cell-line	cell-line	none	counts	passed
ENCFF639TKO	ENCFF639TKO	ENCSR402ZCY	ENCSR295WDS	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF847WXD	ENCFF847WXD	ENCSR000BKE	ENCSR469WUV	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF326SHR	ENCFF326SHR	ENCSR000DOG	ENCSR171HUI	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF630TKG	ENCFF630TKG	ENCSR028UIU	ENCSR405ECI	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF699MVW	ENCFF699MVW	ENCSR000BNU	ENCSR938IXD	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF782EAR	ENCFF782EAR	ENCSR632DCH	ENCSR697WUY	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF673XZO	ENCFF673XZO	ENCSR480LIS	ENCSR899JOK	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	none	counts	passed
ENCFF985LDU	ENCFF985LDU	ENCSR205FOW	ENCSR747WRJ	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF3	liver	liver	liver	digestive-system	none	counts	passed
ENCFF607NGR	ENCFF607NGR	ENCSR288ZFV	ENCSR541PJK	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	none	counts	passed
ENCFF776KFG	ENCFF776KFG	ENCSR803PAI	ENCSR800VEQ	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	ATF4	HepG2	cell-line	cell-line	cell-line	none	counts	passed
