track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF695DCT	ENCFF695DCT	ENCSR590KEQ	ENCSR728JEK	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	none	profile	passed
ENCFF678NNM	ENCFF678NNM	ENCSR760UKJ	ENCSR572ENG	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	none	profile	passed
ENCFF840UXZ	ENCFF840UXZ	ENCSR267TGY	ENCSR041XVL	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	none	profile	passed
ENCFF734SEQ	ENCFF734SEQ	ENCSR794LVK	ENCSR768KYM	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	none	profile	passed
ENCFF052JHE	ENCFF052JHE	ENCSR949COJ	ENCSR195HNX	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	none	profile	passed
ENCFF397GYK	ENCFF397GYK	ENCSR253OON	ENCSR921NDS	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	none	profile	passed
ENCFF155LSZ	ENCFF155LSZ	ENCSR085XDP	ENCSR492OAC	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	profile	passed
ENCFF249LCE	ENCFF249LCE	ENCSR000DNZ	ENCSR945EBR	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	profile	passed
ENCFF537TTI	ENCFF537TTI	ENCSR159OCC	ENCSR098GCX	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	profile	passed
ENCFF986OJL	ENCFF986OJL	ENCSR091GVJ	ENCSR901APQ	BPNet	sequence contribution scores profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	none	profile	passed
