track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF104QTC	ENCFF104QTC	ENCSR000BKM	ENCSR915HTG	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	GATA2	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF020JFT	ENCFF020JFT	ENCSR000BKM	ENCSR915HTG	BPNet	sequence motifs instances	bigBed	ChIP-seq	GATA2	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF691BMY	ENCFF691BMY	ENCSR000BKO	ENCSR807ZPN	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	SP1	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF387DWS	ENCFF387DWS	ENCSR000BKO	ENCSR807ZPN	BPNet	sequence motifs instances	bigBed	ChIP-seq	SP1	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF535BLQ	ENCFF535BLQ	ENCSR000BRQ	ENCSR073GKS	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	CEBPB	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF965UYR	ENCFF965UYR	ENCSR000BRQ	ENCSR073GKS	BPNet	sequence motifs instances	bigBed	ChIP-seq	CEBPB	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF519TPL	ENCFF519TPL	ENCSR000DJX	ENCSR767UUB	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	JUND	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF097ECZ	ENCFF097ECZ	ENCSR000DJX	ENCSR767UUB	BPNet	sequence motifs instances	bigBed	ChIP-seq	JUND	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF168CVW	ENCFF168CVW	ENCSR000BLO	ENCSR845VGY	BPNet	sequence contribution scores counts	bigWig	ChIP-seq	GABPA	K562	cell-line	cell-line	cell-line	none	counts	passed
ENCFF895MPS	ENCFF895MPS	ENCSR000BLO	ENCSR845VGY	BPNet	sequence motifs instances	bigBed	ChIP-seq	GABPA	K562	cell-line	cell-line	cell-line	none	none	passed
ENCFF132WOR	ENCFF132WOR	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF005ZYZ	ENCFF005ZYZ	ENCSR590KEQ	ENCSR728JEK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF474PJD	ENCFF474PJD	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	minus	none	passed
ENCFF249RPS	ENCFF249RPS	ENCSR760UKJ	ENCSR572ENG	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT	HEK293T	cell-line	cell-line	cell-line	plus	none	passed
ENCFF370AVM	ENCFF370AVM	ENCSR267TGY	ENCSR041XVL	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF005YRI	ENCFF005YRI	ENCSR267TGY	ENCSR041XVL	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNT2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF568NFI	ENCFF568NFI	ENCSR794LVK	ENCSR768KYM	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF469TIJ	ENCFF469TIJ	ENCSR794LVK	ENCSR768KYM	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF014PGQ	ENCFF014PGQ	ENCSR949COJ	ENCSR195HNX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	minus	none	passed
ENCFF050IOO	ENCFF050IOO	ENCSR949COJ	ENCSR195HNX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ARNTL	SK-N-SH	cell-line	cell-line	cell-line	plus	none	passed
ENCFF592XUB	ENCFF592XUB	ENCSR253OON	ENCSR921NDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF463ZHG	ENCFF463ZHG	ENCSR253OON	ENCSR921NDS	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF261PNW	ENCFF261PNW	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF555GBJ	ENCFF555GBJ	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF669OHS	ENCFF669OHS	ENCSR159OCC	ENCSR098GCX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF769PKJ	ENCFF769PKJ	ENCSR085XDP	ENCSR492OAC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF263XWT	ENCFF263XWT	ENCSR159OCC	ENCSR098GCX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF673NTH	ENCFF673NTH	ENCSR091GVJ	ENCSR901APQ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF873JNT	ENCFF873JNT	ENCSR000DNZ	ENCSR945EBR	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF891LUQ	ENCFF891LUQ	ENCSR085XDP	ENCSR492OAC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	K562	cell-line	cell-line	cell-line	plus	none	passed
ENCFF760NOC	ENCFF760NOC	ENCSR887VJM	ENCSR066VPU	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	minus	none	passed
ENCFF433ECQ	ENCFF433ECQ	ENCSR887VJM	ENCSR066VPU	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF1	WTC11	cell-line	cell-line	cell-line	plus	none	passed
ENCFF022YOE	ENCFF022YOE	ENCSR961PPA	ENCSR948FHI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF494NTV	ENCFF494NTV	ENCSR000BQK	ENCSR805HVX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	minus	none	passed
ENCFF007MPZ	ENCFF007MPZ	ENCSR000BQK	ENCSR805HVX	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF017IHB	ENCFF017IHB	ENCSR961PPA	ENCSR948FHI	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	GM12878	cell-line	cell-line	cell-line	plus	none	passed
ENCFF758VCV	ENCFF758VCV	ENCSR000BQU	ENCSR351BPK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	minus	none	passed
ENCFF242PXA	ENCFF242PXA	ENCSR000BQU	ENCSR351BPK	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	H1	cell-line	cell-line	cell-line	plus	none	passed
ENCFF742FWK	ENCFF742FWK	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	minus	none	passed
ENCFF588NML	ENCFF588NML	ENCSR217HTK	ENCSR510IRZ	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HEK293	cell-line	cell-line	cell-line	plus	none	passed
ENCFF037RDR	ENCFF037RDR	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF621EBS	ENCFF621EBS	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	minus	none	passed
ENCFF638FPC	ENCFF638FPC	ENCSR047BUZ	ENCSR268FRB	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF843FJW	ENCFF843FJW	ENCSR908HWZ	ENCSR290NUC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	HepG2	cell-line	cell-line	cell-line	plus	none	passed
ENCFF497BDS	ENCFF497BDS	ENCSR869IUD	ENCSR762MDC	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF714YET	ENCFF714YET	ENCSR014ARU	ENCSR329DYY	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	minus	none	passed
ENCFF191ETT	ENCFF191ETT	ENCSR014ARU	ENCSR329DYY	BPNet	normalized observed signal profile	bigWig	ChIP-seq	ATF2	K562	cell-line	cell-line	cell-line	plus	none	passed
