track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF826YXT	ENCFF826YXT	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF456CIM	ENCFF456CIM	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	bias-corrected predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF575QGF	ENCFF575QGF	ENCSR220ASC	ENCSR311VBG	ChromBPNet	bias-corrected predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF732PDJ	ENCFF732PDJ	ENCSR000ELW	ENCSR422EZD	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF834UHQ	ENCFF834UHQ	ENCSR346JWH	ENCSR457MEO	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF552EDC	ENCFF552EDC	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF443MCX	ENCFF443MCX	ENCSR000ELX	ENCSR550YQU	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF111OTN	ENCFF111OTN	ENCSR000ELY	ENCSR979PXO	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF386SZS	ENCFF386SZS	ENCSR000EMA	ENCSR532BKE	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF873QSW	ENCFF873QSW	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF423HRV	ENCFF423HRV	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF867ALQ	ENCFF867ALQ	ENCSR603LVR	ENCSR843FCA	ChromBPNet	bias-corrected predicted signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF092ZVX	ENCFF092ZVX	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF307DVA	ENCFF307DVA	ENCSR381PXW	ENCSR797RDX	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF316PEK	ENCFF316PEK	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF396UDB	ENCFF396UDB	ENCSR891VOV	ENCSR994ABS	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF990VUF	ENCFF990VUF	ENCSR468AKF	ENCSR264VFS	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF389BPA	ENCFF389BPA	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF696YQW	ENCFF696YQW	ENCSR000EMD	ENCSR723PKD	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF791WYG	ENCFF791WYG	ENCSR000EME	ENCSR035HVD	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
ENCFF305VBT	ENCFF305VBT	ENCSR000EPK	ENCSR216WTI	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF336PWQ	ENCFF336PWQ	ENCSR695AUY	ENCSR576XND	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF341RMD	ENCFF341RMD	ENCSR674JIL	ENCSR279GNT	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF673CRN	ENCFF673CRN	ENCSR452DCM	ENCSR209OIH	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF400QNP	ENCFF400QNP	ENCSR373BIX	ENCSR258MDW	ChromBPNet	bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD1c-positive-myeloid-dendritic-cell	dendritic	immune	immune-system	none	none	passed
