track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF854PMX	ENCFF854PMX	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF513IVL	ENCFF513IVL	ENCSR220ASC	ENCSR311VBG	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF567UEP	ENCFF567UEP	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF094HDQ	ENCFF094HDQ	ENCSR000ELW	ENCSR422EZD	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF729CUS	ENCFF729CUS	ENCSR346JWH	ENCSR457MEO	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF594ZTH	ENCFF594ZTH	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF717GQE	ENCFF717GQE	ENCSR000ELX	ENCSR550YQU	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF726YOZ	ENCFF726YOZ	ENCSR000ELY	ENCSR979PXO	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF307UTT	ENCFF307UTT	ENCSR000EMA	ENCSR532BKE	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF238QTI	ENCFF238QTI	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF709JTN	ENCFF709JTN	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF303WDE	ENCFF303WDE	ENCSR603LVR	ENCSR843FCA	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF402TLR	ENCFF402TLR	ENCSR468AKF	ENCSR264VFS	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF559AEJ	ENCFF559AEJ	ENCSR891VOV	ENCSR994ABS	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF836XCE	ENCFF836XCE	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF853NMV	ENCFF853NMV	ENCSR381PXW	ENCSR797RDX	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF873EHW	ENCFF873EHW	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF220ZAH	ENCFF220ZAH	ENCSR000EMD	ENCSR723PKD	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF505FVI	ENCFF505FVI	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF989QNL	ENCFF989QNL	ENCSR000EME	ENCSR035HVD	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
ENCFF324YRA	ENCFF324YRA	ENCSR452DCM	ENCSR209OIH	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF630PUB	ENCFF630PUB	ENCSR000EPK	ENCSR216WTI	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF692ULK	ENCFF692ULK	ENCSR674JIL	ENCSR279GNT	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF883BQM	ENCFF883BQM	ENCSR695AUY	ENCSR576XND	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF467PWH	ENCFF467PWH	ENCSR373BIX	ENCSR258MDW	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD1c-positive-myeloid-dendritic-cell	dendritic	immune	immune-system	none	none	passed
ENCFF421FAU	ENCFF421FAU	ENCSR504OUW	ENCSR655LFC	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF506GDI	ENCFF506GDI	ENCSR159GFS	ENCSR490DKY	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF534VXI	ENCFF534VXI	ENCSR000EQK	ENCSR409YWQ	ChromBPNet	normalized bias-corrected predicted signal profile	bigWig	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
