track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF781QTQ	ENCFF781QTQ	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF444DID	ENCFF444DID	ENCSR220ASC	ENCSR311VBG	ChromBPNet	normalized observed signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF778ZCU	ENCFF778ZCU	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	normalized observed signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF637QSM	ENCFF637QSM	ENCSR000ELW	ENCSR422EZD	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF413IRC	ENCFF413IRC	ENCSR346JWH	ENCSR457MEO	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF423RDO	ENCFF423RDO	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF451LLS	ENCFF451LLS	ENCSR000ELX	ENCSR550YQU	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF823CCH	ENCFF823CCH	ENCSR000ELY	ENCSR979PXO	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF448BHU	ENCFF448BHU	ENCSR000EMA	ENCSR532BKE	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF453KAZ	ENCFF453KAZ	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF612WOT	ENCFF612WOT	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF633JGL	ENCFF633JGL	ENCSR603LVR	ENCSR843FCA	ChromBPNet	normalized observed signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF073WBV	ENCFF073WBV	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF375JLZ	ENCFF375JLZ	ENCSR468AKF	ENCSR264VFS	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF467SJN	ENCFF467SJN	ENCSR891VOV	ENCSR994ABS	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF552UWD	ENCFF552UWD	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF672DOE	ENCFF672DOE	ENCSR381PXW	ENCSR797RDX	ChromBPNet	normalized observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
