track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF114XXM	ENCFF114XXM	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF618CCS	ENCFF618CCS	ENCSR220ASC	ENCSR311VBG	ChromBPNet	normalized predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF978XVW	ENCFF978XVW	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	normalized predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF234SWN	ENCFF234SWN	ENCSR000ELW	ENCSR422EZD	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF770FQC	ENCFF770FQC	ENCSR346JWH	ENCSR457MEO	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF555NBU	ENCFF555NBU	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF446YFB	ENCFF446YFB	ENCSR000ELX	ENCSR550YQU	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF350EPK	ENCFF350EPK	ENCSR000ELY	ENCSR979PXO	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF977YMI	ENCFF977YMI	ENCSR000EMA	ENCSR532BKE	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF233TBH	ENCFF233TBH	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF264KKT	ENCFF264KKT	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF787NWJ	ENCFF787NWJ	ENCSR603LVR	ENCSR843FCA	ChromBPNet	normalized predicted signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF613JKU	ENCFF613JKU	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF654XSE	ENCFF654XSE	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF730TKA	ENCFF730TKA	ENCSR381PXW	ENCSR797RDX	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF747AYQ	ENCFF747AYQ	ENCSR468AKF	ENCSR264VFS	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF905YKJ	ENCFF905YKJ	ENCSR891VOV	ENCSR994ABS	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF343WCD	ENCFF343WCD	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF991YJN	ENCFF991YJN	ENCSR000EMD	ENCSR723PKD	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF810WWI	ENCFF810WWI	ENCSR000EME	ENCSR035HVD	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
ENCFF231LNZ	ENCFF231LNZ	ENCSR674JIL	ENCSR279GNT	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF401UEB	ENCFF401UEB	ENCSR452DCM	ENCSR209OIH	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF406YOI	ENCFF406YOI	ENCSR695AUY	ENCSR576XND	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF836IVQ	ENCFF836IVQ	ENCSR000EPK	ENCSR216WTI	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF830CLQ	ENCFF830CLQ	ENCSR373BIX	ENCSR258MDW	ChromBPNet	normalized predicted signal profile	bigWig	DNase-seq	none	CD1c-positive-myeloid-dendritic-cell	dendritic	immune	immune-system	none	none	passed
