track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF426QKH	ENCFF426QKH	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF010MHS	ENCFF010MHS	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF216UUB	ENCFF216UUB	ENCSR220ASC	ENCSR311VBG	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF893PPI	ENCFF893PPI	ENCSR000ELW	ENCSR422EZD	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF534LOC	ENCFF534LOC	ENCSR346JWH	ENCSR457MEO	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF801EJJ	ENCFF801EJJ	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF603TIQ	ENCFF603TIQ	ENCSR000ELX	ENCSR550YQU	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF611DNA	ENCFF611DNA	ENCSR000ELY	ENCSR979PXO	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF458ODC	ENCFF458ODC	ENCSR000EMA	ENCSR532BKE	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF632XTS	ENCFF632XTS	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF967ZTG	ENCFF967ZTG	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF969NAE	ENCFF969NAE	ENCSR603LVR	ENCSR843FCA	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF009JGF	ENCFF009JGF	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF133WVD	ENCFF133WVD	ENCSR381PXW	ENCSR797RDX	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF551UTK	ENCFF551UTK	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF580LPC	ENCFF580LPC	ENCSR891VOV	ENCSR994ABS	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF802PTA	ENCFF802PTA	ENCSR468AKF	ENCSR264VFS	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF238CVV	ENCFF238CVV	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF511RBT	ENCFF511RBT	ENCSR000EMD	ENCSR723PKD	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF824CAS	ENCFF824CAS	ENCSR000EME	ENCSR035HVD	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
ENCFF034BGQ	ENCFF034BGQ	ENCSR000EPK	ENCSR216WTI	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF377KFT	ENCFF377KFT	ENCSR695AUY	ENCSR576XND	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF888OUA	ENCFF888OUA	ENCSR452DCM	ENCSR209OIH	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF996HIK	ENCFF996HIK	ENCSR674JIL	ENCSR279GNT	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF375MRC	ENCFF375MRC	ENCSR373BIX	ENCSR258MDW	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD1c-positive-myeloid-dendritic-cell	dendritic	immune	immune-system	none	none	passed
ENCFF461LOV	ENCFF461LOV	ENCSR504OUW	ENCSR655LFC	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF949IFW	ENCFF949IFW	ENCSR159GFS	ENCSR490DKY	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF084VMN	ENCFF084VMN	ENCSR000EQJ	ENCSR332VOK	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF427BWA	ENCFF427BWA	ENCSR000EQK	ENCSR409YWQ	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF432ENY	ENCFF432ENY	ENCSR042WQA	ENCSR089ESP	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF845FEJ	ENCFF845FEJ	ENCSR398CXD	ENCSR350GNA	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF785NOV	ENCFF785NOV	ENCSR841LHT	ENCSR830MQP	ChromBPNet	observed signal profile	bigWig	ATAC-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF072XYF	ENCFF072XYF	ENCSR572FSS	ENCSR229BTC	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF080WQH	ENCFF080WQH	ENCSR832IQN	ENCSR604TTC	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF136VNB	ENCFF136VNB	ENCSR408GYQ	ENCSR558IEO	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF145KXX	ENCFF145KXX	ENCSR036ELY	ENCSR361DCS	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF164OUX	ENCFF164OUX	ENCSR314IOV	ENCSR163HRT	ChromBPNet	observed signal profile	bigWig	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
