track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF050ICR	ENCFF050ICR	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF176TDS	ENCFF176TDS	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF742XHL	ENCFF742XHL	ENCSR220ASC	ENCSR311VBG	ChromBPNet	predicted signal profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF703GPI	ENCFF703GPI	ENCSR000ELW	ENCSR422EZD	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF163APU	ENCFF163APU	ENCSR346JWH	ENCSR457MEO	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF138ZKU	ENCFF138ZKU	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF740TOY	ENCFF740TOY	ENCSR000ELX	ENCSR550YQU	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF091GXY	ENCFF091GXY	ENCSR000ELY	ENCSR979PXO	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF002MVE	ENCFF002MVE	ENCSR000EMA	ENCSR532BKE	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF986FFZ	ENCFF986FFZ	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF863PLJ	ENCFF863PLJ	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF307JLT	ENCFF307JLT	ENCSR603LVR	ENCSR843FCA	ChromBPNet	predicted signal profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF213MCP	ENCFF213MCP	ENCSR468AKF	ENCSR264VFS	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF303PUG	ENCFF303PUG	ENCSR381PXW	ENCSR797RDX	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF320TBF	ENCFF320TBF	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF341CLW	ENCFF341CLW	ENCSR891VOV	ENCSR994ABS	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF803HIY	ENCFF803HIY	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF355VEV	ENCFF355VEV	ENCSR000EMD	ENCSR723PKD	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF688RFS	ENCFF688RFS	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF409VYA	ENCFF409VYA	ENCSR000EME	ENCSR035HVD	ChromBPNet	predicted signal profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
