track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF461OFQ	ENCFF461OFQ	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF733XKJ	ENCFF733XKJ	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF743TSH	ENCFF743TSH	ENCSR220ASC	ENCSR311VBG	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF752ITO	ENCFF752ITO	ENCSR000ELW	ENCSR422EZD	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF992HKN	ENCFF992HKN	ENCSR346JWH	ENCSR457MEO	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF512HLL	ENCFF512HLL	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF916FLC	ENCFF916FLC	ENCSR000ELX	ENCSR550YQU	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF070YKS	ENCFF070YKS	ENCSR000ELY	ENCSR979PXO	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF554ULP	ENCFF554ULP	ENCSR000EMA	ENCSR532BKE	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF938QXT	ENCFF938QXT	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF529JNZ	ENCFF529JNZ	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF653HBB	ENCFF653HBB	ENCSR603LVR	ENCSR843FCA	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF122DKY	ENCFF122DKY	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF138BNJ	ENCFF138BNJ	ENCSR891VOV	ENCSR994ABS	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF223VWB	ENCFF223VWB	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF388QSK	ENCFF388QSK	ENCSR468AKF	ENCSR264VFS	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF842WQQ	ENCFF842WQQ	ENCSR381PXW	ENCSR797RDX	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF138GNY	ENCFF138GNY	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF594PEO	ENCFF594PEO	ENCSR000EMD	ENCSR723PKD	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF788DIL	ENCFF788DIL	ENCSR000EME	ENCSR035HVD	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	none	passed
ENCFF313PSS	ENCFF313PSS	ENCSR452DCM	ENCSR209OIH	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF400BTR	ENCFF400BTR	ENCSR674JIL	ENCSR279GNT	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF530XXU	ENCFF530XXU	ENCSR695AUY	ENCSR576XND	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF839GPX	ENCFF839GPX	ENCSR000EPK	ENCSR216WTI	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	none	passed
ENCFF208RNQ	ENCFF208RNQ	ENCSR373BIX	ENCSR258MDW	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD1c-positive-myeloid-dendritic-cell	dendritic	immune	immune-system	none	none	passed
ENCFF048LBO	ENCFF048LBO	ENCSR504OUW	ENCSR655LFC	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF320ECY	ENCFF320ECY	ENCSR159GFS	ENCSR490DKY	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF355QZQ	ENCFF355QZQ	ENCSR000EQK	ENCSR409YWQ	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF415QCZ	ENCFF415QCZ	ENCSR398CXD	ENCSR350GNA	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF643VQX	ENCFF643VQX	ENCSR042WQA	ENCSR089ESP	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF677EAP	ENCFF677EAP	ENCSR000EQJ	ENCSR332VOK	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-CD25-positive,-alpha-beta-regulatory-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF414TRR	ENCFF414TRR	ENCSR841LHT	ENCSR830MQP	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	ATAC-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF004CMQ	ENCFF004CMQ	ENCSR769OIG	ENCSR430VKQ	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF011JKG	ENCFF011JKG	ENCSR152FWD	ENCSR265TNV	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF027YPY	ENCFF027YPY	ENCSR642BXP	ENCSR329EAO	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF031AAA	ENCFF031AAA	ENCSR363LUK	ENCSR563YZV	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF049GBC	ENCFF049GBC	ENCSR126EVX	ENCSR808PEA	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF055QKC	ENCFF055QKC	ENCSR060ZXQ	ENCSR599AWD	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF084JSE	ENCFF084JSE	ENCSR167JFX	ENCSR141XLS	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF098VLD	ENCFF098VLD	ENCSR250GDW	ENCSR623XYP	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF143XFN	ENCFF143XFN	ENCSR336QAO	ENCSR398VFI	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
ENCFF150TPQ	ENCFF150TPQ	ENCSR567IWT	ENCSR206BGH	ChromBPNet	selected regions for predicted signal and sequence contribution scores	bigBed	DNase-seq	none	CD4-positive,-alpha-beta-T-cell	t-cell	immune	immune-system	none	none	passed
