track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF900NCN	ENCFF900NCN	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	counts	passed
ENCFF951XAZ	ENCFF951XAZ	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	sequence contribution scores counts	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	counts	passed
ENCFF961BBX	ENCFF961BBX	ENCSR220ASC	ENCSR311VBG	ChromBPNet	sequence contribution scores counts	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	counts	passed
ENCFF286VEC	ENCFF286VEC	ENCSR000ELW	ENCSR422EZD	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	counts	passed
ENCFF184TFG	ENCFF184TFG	ENCSR346JWH	ENCSR457MEO	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	counts	passed
ENCFF766PDO	ENCFF766PDO	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	counts	passed
ENCFF011WEW	ENCFF011WEW	ENCSR000ELX	ENCSR550YQU	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	counts	passed
ENCFF546BHT	ENCFF546BHT	ENCSR000ELY	ENCSR979PXO	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	counts	passed
ENCFF765QGH	ENCFF765QGH	ENCSR000EMA	ENCSR532BKE	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	counts	passed
ENCFF219ZGS	ENCFF219ZGS	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	sequence contribution scores counts	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	counts	passed
