track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF457YPG	ENCFF457YPG	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	profile	passed
ENCFF451YDV	ENCFF451YDV	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	sequence contribution scores profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	profile	passed
ENCFF904QZG	ENCFF904QZG	ENCSR220ASC	ENCSR311VBG	ChromBPNet	sequence contribution scores profile	bigWig	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	profile	passed
ENCFF449URK	ENCFF449URK	ENCSR000ELW	ENCSR422EZD	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	profile	passed
ENCFF229YPM	ENCFF229YPM	ENCSR346JWH	ENCSR457MEO	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	profile	passed
ENCFF977KWO	ENCFF977KWO	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	profile	passed
ENCFF191MGN	ENCFF191MGN	ENCSR000ELX	ENCSR550YQU	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	profile	passed
ENCFF061UKT	ENCFF061UKT	ENCSR000ELY	ENCSR979PXO	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	profile	passed
ENCFF077SVC	ENCFF077SVC	ENCSR000EMA	ENCSR532BKE	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	profile	passed
ENCFF796WZQ	ENCFF796WZQ	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	profile	passed
ENCFF180TUA	ENCFF180TUA	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	profile	passed
ENCFF531HLY	ENCFF531HLY	ENCSR603LVR	ENCSR843FCA	ChromBPNet	sequence contribution scores profile	bigWig	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF035XUX	ENCFF035XUX	ENCSR381PXW	ENCSR797RDX	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF237HFQ	ENCFF237HFQ	ENCSR891VOV	ENCSR994ABS	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF244MUL	ENCFF244MUL	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF674ATW	ENCFF674ATW	ENCSR468AKF	ENCSR264VFS	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF732HTM	ENCFF732HTM	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	profile	passed
ENCFF704BIM	ENCFF704BIM	ENCSR000EMD	ENCSR723PKD	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	profile	passed
ENCFF894OVM	ENCFF894OVM	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	profile	passed
ENCFF945HSS	ENCFF945HSS	ENCSR000EME	ENCSR035HVD	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	BJ	cell-line	cell-line	cell-line	none	profile	passed
ENCFF156RUT	ENCFF156RUT	ENCSR452DCM	ENCSR209OIH	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	profile	passed
ENCFF267VBF	ENCFF267VBF	ENCSR695AUY	ENCSR576XND	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	profile	passed
ENCFF286TAS	ENCFF286TAS	ENCSR674JIL	ENCSR279GNT	ChromBPNet	sequence contribution scores profile	bigWig	DNase-seq	none	CD14-positive-monocyte	cd	immune	immune-system	none	profile	passed
