track_key	file_accession	experiment	model_accession	model	track_type	format	assay	target	biosample	tissue	organ	system	strand	score_type	qc_flag
ENCFF325ODL	ENCFF325ODL	ENCSR932KWJ	ENCSR030TAD	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	A172	cell-line	cell-line	cell-line	none	none	passed
ENCFF162DSB	ENCFF162DSB	ENCSR032RGS	ENCSR394KFZ	ChromBPNet	sequence motifs instances	bigBed	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF693ROU	ENCFF693ROU	ENCSR220ASC	ENCSR311VBG	ChromBPNet	sequence motifs instances	bigBed	ATAC-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF571RQZ	ENCFF571RQZ	ENCSR000ELW	ENCSR422EZD	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	A549	cell-line	cell-line	cell-line	none	none	passed
ENCFF835IPX	ENCFF835IPX	ENCSR346JWH	ENCSR457MEO	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	A673	cell-line	cell-line	cell-line	none	none	passed
ENCFF869MLE	ENCFF869MLE	ENCSR257BGZ	ENCSR490SYH	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	ACHN	cell-line	cell-line	cell-line	none	none	passed
ENCFF929COQ	ENCFF929COQ	ENCSR000ELX	ENCSR550YQU	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	AG04449	cell-line	cell-line	cell-line	none	none	passed
ENCFF294KCN	ENCFF294KCN	ENCSR000ELY	ENCSR979PXO	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	AG04450	cell-line	cell-line	cell-line	none	none	passed
ENCFF406OCU	ENCFF406OCU	ENCSR000EMA	ENCSR532BKE	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	AG09319	cell-line	cell-line	cell-line	none	none	passed
ENCFF057NBD	ENCFF057NBD	ENCSR000EMB	ENCSR552FQJ	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	AG10803	cell-line	cell-line	cell-line	none	none	passed
ENCFF223JSB	ENCFF223JSB	ENCSR584LUZ	ENCSR463EBH	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	Ammon's-horn	ammon	brain	central-nervous-system	none	none	passed
ENCFF771MPR	ENCFF771MPR	ENCSR603LVR	ENCSR843FCA	ChromBPNet	sequence motifs instances	bigBed	ATAC-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF068VFT	ENCFF068VFT	ENCSR381PXW	ENCSR797RDX	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF359ARC	ENCFF359ARC	ENCSR247IUJ	ENCSR757NHR	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF442TUF	ENCFF442TUF	ENCSR891VOV	ENCSR994ABS	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF464IFL	ENCFF464IFL	ENCSR000EMJ	ENCSR442QCU	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF625CWE	ENCFF625CWE	ENCSR468AKF	ENCSR264VFS	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	B-cell	b-cell	immune	immune-system	none	none	passed
ENCFF571LME	ENCFF571LME	ENCSR000EMD	ENCSR723PKD	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
ENCFF967BEJ	ENCFF967BEJ	ENCSR009KWQ	ENCSR620CIC	ChromBPNet	sequence motifs instances	bigBed	DNase-seq	none	BE2C	cell-line	cell-line	cell-line	none	none	passed
